Title,Date
"BoJack Horseman: Season 1: Zoës and Zeldas","9/7/25"
"BoJack Horseman: Season 1: Prickly-Muffin","9/7/25"
"BoJack Horseman: Season 1: BoJack Hates the Troops","9/7/25"
"BoJack Horseman: Season 1: BoJack Horseman: The BoJack Horseman Story, Chapter One","9/7/25"
"BoJack Horseman: Season 3: BoJack Kills","9/7/25"
"BoJack Horseman: Season 3: The BoJack Horseman Show","9/7/25"
"","9/7/25"
"No Cap: 2 Years of Light","9/5/25"
"BoJack Horseman: Season 3: Start Spreading the News","8/31/25"
"BoJack Horseman: Season 2: Hank After Dark","8/31/25"
"Marshall","8/29/25"
"The Mule","8/24/25"
"Fear and Loathing in Las Vegas","8/19/25"
"Prisoners","8/15/25"
"Red Riding Trilogy: Part 1: 1974","8/15/25"
"Justice","8/12/25"
"How I Became a Gangster","8/11/25"
"The Ruthless","8/10/25"
"They Cloned Tyrone","8/10/25"
"A Man of Action","8/10/25"
"Asteroid City","8/10/25"
"White Boy Rick","8/8/25"
"BoJack Horseman: Season 2: Higher Love","8/7/25"
"Sand Castle","8/6/25"
"Pilecki's Report","8/4/25"
"The Angel","8/4/25"
"The Resistance Banker","8/4/25"
"War Machine","8/3/25"
"Trailer Park Boys: Season 2: Jim Lahey Is a Drunk Bastard","8/3/25"
"Gun City","8/3/25"
"Three Identical Strangers","8/1/25"
"Loafing and Camouflage: Sirens in the Aegean","7/28/25"
"Barbie","7/28/25"
"Explained: Season 1: Weed","7/26/25"
"Explained: Season 1: Tattoo","7/26/25"
"Explained: Season 2: Coding","7/26/25"
"Nonnas","7/26/25"
"The Trial of the Chicago 7","7/25/25"
"The Mind, Explained: Season 1: Psychedelics","7/25/25"
"War Dogs","7/16/25"
"BoJack Horseman: Season 2: Chickens","7/15/25"
"BoJack Horseman: Season 2: After the Party","7/15/25"
"Cape Fear","7/13/25"
"Operation Finale","7/13/25"
"The Equalizer 3","7/11/25"
"Bo Burnham: Inside","7/7/25"
"Squid Game in Conversation","6/30/25"
"Squid Game: Season 3: Humans Are…","6/30/25"
"Squid Game: Season 3: ○△□","6/30/25"
"Squid Game: Season 3: 222","6/30/25"
"Squid Game: Season 3: It's Not Your Fault","6/30/25"
"Squid Game: Season 3: The Starry Night","6/29/25"
"Squid Game: Season 3: Keys and Knives","6/28/25"
"Antz","6/23/25"
"BoJack Horseman: Season 2: Still Broken","6/18/25"
"Udta Punjab","6/13/25"
"Sin City","6/12/25"
"Birdman or (The Unexpected Virtue of Ignorance)","6/11/25"
"Primal Fear","6/7/25"
"STRAW","6/7/25"
"Love, Death & Robots: Volume 3: Three Robots: Exit Strategies","6/5/25"
"Rick and Morty: Season 1: Rick Potion #9","6/5/25"
"14 Peaks: Nothing Is Impossible","6/5/25"
"The Rainmaker","5/30/25"
"A Widow's Game","5/30/25"
"Love, Death & Robots: Volume 4: For He Can Creep","5/22/25"
"Love, Death & Robots: Volume 4: Smart Appliances, Stupid Owners","5/22/25"
"Love, Death & Robots: Volume 4: How Zeke Got Religion","5/22/25"
"Love, Death & Robots: Volume 4: The Screaming of the Tyrannosaur","5/22/25"
"Love, Death & Robots: Volume 4: Golgotha","5/22/25"
"Love, Death & Robots: Volume 4: The Other Large Thing","5/22/25"
"Love, Death & Robots: Volume 4: 400 Boys","5/22/25"
"Love, Death & Robots: Volume 4: Spider Rose","5/22/25"
"Love, Death & Robots: Volume 4: Close Encounters of the Mini Kind","5/22/25"
"Love, Death & Robots: Volume 4: Can't Stop","5/22/25"
"Runaway Jury","5/11/25"
"The Truman Show","5/8/25"
"Y Tu Mamá También","5/3/25"
"The White Tiger","5/1/25"
"Lucky Baskhar","4/25/25"
"Single’s Inferno: Season 3: Episode 9","4/24/25"
"Chhaava","4/24/25"
"Just Mercy","4/21/25"
"Black Mirror: Season 6: Loch Henry","4/20/25"
"Black Mirror: Season 5: Smithereens","4/20/25"
"Black Mirror: Season 7: USS Callister: Into Infinity","4/20/25"
"Black Mirror: Season 7: Eulogy","4/20/25"
"Black Mirror: Season 7: Plaything","4/20/25"
"Black Mirror: Season 7: Hotel Reverie","4/20/25"
"Black Mirror: Season 7: Bête Noire","4/19/25"
"Black Mirror: Season 7: Common People","4/19/25"
"The White Helmets","4/14/25"
"I-4: Loafing and Camouflage","4/11/25"
"Black Mirror: Season 6: Demon 79","4/5/25"
"Black Mirror: Season 6: Mazey Day","4/5/25"
"Black Mirror: Season 6: Joan Is Awful","4/4/25"
"The Wonderful Story of Henry Sugar and Three More","4/4/25"
"The Wonderful Story of Henry Sugar","4/4/25"
"Love Actually","3/30/25"
"Adolescence: Limited Series: Episode 4","3/29/25"
"Adolescence: Limited Series: Episode 3","3/29/25"
"Puss in Boots: The Last Wish","3/28/25"
"Adolescence: Limited Series: Episode 2","3/26/25"
"Adolescence: Limited Series: Episode 1","3/25/25"
"Trailer Park Boys: Season 2: What in the F**k Happened to Our Trailer Park?","3/24/25"
"Trailer Park Boys: Season 1: Who the Hell Invited These Idiots to My Wedding?","3/24/25"
"Trailer Park Boys: Season 1: I'm Not Gay, I Love Lucy... Wait a Second, Maybe I Am Gay","3/24/25"
"Trailer Park Boys: Season 1: Mrs. Peterson's Dog Gets F**ked Up","3/24/25"
"Love, Death & Robots: Volume 3: Jibaro","3/23/25"
"Love, Death & Robots: Volume 1: WHEN THE YOGURT TOOK OVER","3/23/25"
"Layer Cake","3/23/25"
"Inside Man","3/23/25"
"A History of Violence","3/21/25"
"Rick and Morty: Season 1: Meeseeks and Destroy","3/20/25"
"Rick and Morty: Season 1: M. Night Shaym-Aliens!","3/20/25"
"Rick and Morty: Season 1: Anatomy Park","3/20/25"
"Rick and Morty: Season 1: Lawnmower Dog","3/20/25"
"Rick and Morty: Season 7: How Poopy Got His Poop Back","3/20/25"
